article_id,n_events,dominant_type,nmf_topic,nmf_label,nmf_score,louvain_community,louvain_label,hdbscan_cluster,hdbscan_label,x_2d,y_2d
699c7564bf23573ae1689df8,10,Event,16,mencho | el mencho | el | oseguera,0.0874,1896,pays | conjointement | élimination,0,président | pourrait | contre,-7.508,-0.7736
699c7583bf23573ae1689dfc,1,Event,6,militant | deranque | mort | quentin,0.0302,1897,situation | clovis | casali,1,france | provoquer | attaquant,-0.7257,9.1791
699c7583bf23573ae1689dfd,2,Event,16,mencho | el mencho | el | oseguera,0.4173,1898,puissant | alias | cartel,1,france | provoquer | attaquant,13.3523,0.568
699c7583bf23573ae1689dfe,7,Event,17,ministre | première | paris | france,0.0185,1899,léonard | vinci | célèbre,1,france | provoquer | attaquant,8.9149,1.2733
699c77dbbf23573ae1689e02,1,Event,14,intelligence | artificielle | intelligence artificielle | new,0.0223,1900,vivre | violentes | ville,1,france | provoquer | attaquant,3.0986,17.4484
699c77dbbf23573ae1689e00,5,Event,14,intelligence | artificielle | intelligence artificielle | new,0.1162,1901,pression | prend | nomination,1,france | provoquer | attaquant,3.1731,7.7937
699c77dbbf23573ae1689dff,4,Event,17,ministre | première | paris | france,0.0512,1902,européenne | syndicats | réclamé,1,france | provoquer | attaquant,8.8257,1.5805
699c77dbbf23573ae1689e01,5,Event,19,pays | plusieurs | mardi | sexuelles,0.0787,1903,onze | arabes | voisins,1,france | provoquer | attaquant,23.4655,3.8791
699c7a33bf23573ae1689e05,1,Event,14,intelligence | artificielle | intelligence artificielle | new,0.0202,1904,rédacteur | roze | rigoulet,1,france | provoquer | attaquant,9.0948,-11.5692
699c7a33bf23573ae1689e03,6,Event,18,loi | nationale | assemblée | assemblée nationale,0.1023,1905,article | cas | recours,1,france | provoquer | attaquant,22.9409,2.9645
699c7a33bf23573ae1689e06,1,Event,12,ukraine | russie | russe | guerre,0.0364,1906,washington | notre | matthieu,1,france | provoquer | attaquant,-0.4876,8.9865
699c7a33bf23573ae1689e07,10,Event,13,monde | tribune | tribune monde | hui,0.0341,1907,diaddlar | maison | épuré,1,france | provoquer | attaquant,10.8874,-1.0256
699c7a33bf23573ae1689e04,4,Event,7,vigilance | départements | garonne | france,0.2593,437,garonne | france | lot,1,france | provoquer | attaquant,-6.0711,13.1225
699c813bbf23573ae1689e09,2,Event,10,unis | etats | etats unis | états unis,0.2157,1908,washington | unis | trafic,1,france | provoquer | attaquant,8.2565,-12.4872
699c813bbf23573ae1689e08,2,Event,14,intelligence | artificielle | intelligence artificielle | new,0.1088,1909,new | maine | unis,1,france | provoquer | attaquant,3.0832,16.4516
699c8393bf23573ae1689e0e,3,Event,14,intelligence | artificielle | intelligence artificielle | new,0.0809,1910,zohran | york | averti,1,france | provoquer | attaquant,2.8222,-0.3774
699c8393bf23573ae1689e0b,6,Event,11,internationale | spatiale | française | station,0.0104,1911,unique | simultanément | siffle,1,france | provoquer | attaquant,10.6345,6.0432
699c8393bf23573ae1689e0d,2,Event,7,vigilance | départements | garonne | france,0.1848,1912,écoliers | ouest | commencé,1,france | provoquer | attaquant,2.9524,16.5265
699c8393bf23573ae1689e0a,6,Event,10,unis | etats | etats unis | états unis,0.1149,1913,unis | indique | dévoilés,1,france | provoquer | attaquant,23.0043,2.9557
699c8393bf23573ae1689e0c,7,Event,13,monde | tribune | tribune monde | hui,0.073,1914,hui | représentante | issue,0,président | pourrait | contre,-6.6949,-1.1419
699c8393bf23573ae1689e10,2,Event,14,intelligence | artificielle | intelligence artificielle | new,0.1107,1915,new | maryland | affrontent,1,france | provoquer | attaquant,3.0863,16.459
699c85ecbf23573ae1689e11,9,Event,12,ukraine | russie | russe | guerre,0.0707,1916,population | coupures | russes,0,président | pourrait | contre,-6.2429,-0.9983
699c85ecbf23573ae1689e13,5,Event,15,epstein | jeffrey | jeffrey epstein | andrew,0.049,1917,août2024 | texas | arrêté,1,france | provoquer | attaquant,18.041,9.8684
699c85ecbf23573ae1689e12,7,Event,19,pays | plusieurs | mardi | sexuelles,0.1006,1918,pays | île | sanctions,1,france | provoquer | attaquant,-5.0772,13.2157
699c85ecbf23573ae1689e14,2,Event,2,contre | annoncé | israël | dimanche,0.0192,1919,uefa | lundi | argentin,1,france | provoquer | attaquant,-4.2144,11.6633
699c8a9cbf23573ae1689e16,5,Event,13,monde | tribune | tribune monde | hui,0.0113,1920,orvain | rares | explore,1,france | provoquer | attaquant,5.2593,-9.9847
699c8a9cbf23573ae1689e15,6,Event,13,monde | tribune | tribune monde | hui,0.0205,1921,groupe | traduit | chute,1,france | provoquer | attaquant,17.9094,7.4395
699c8a9cbf23573ae1689e17,9,Event,16,mencho | el mencho | el | oseguera,0.2875,1922,trafic | stratégie | contre,0,président | pourrait | contre,-7.1631,-0.9409
699c8cf4bf23573ae1689e18,5,Event,17,ministre | première | paris | france,0.0296,1923,reconquête | projet | candidate,1,france | provoquer | attaquant,23.0768,-3.7609
699c8cf4bf23573ae1689e19,6,Event,14,intelligence | artificielle | intelligence artificielle | new,0.0681,1924,new | urgence | centaines,1,france | provoquer | attaquant,11.3144,13.3252
699c91a4bf23573ae1689e1a,9,Event,17,ministre | première | paris | france,0.0662,1925,œuvre | économie | main,1,france | provoquer | attaquant,4.5256,0.3355
699c91a4bf23573ae1689e1b,4,Event,17,ministre | première | paris | france,0.0294,1926,syndicat | éponge | soutiens,1,france | provoquer | attaquant,11.1114,14.4665
699c93fcbf23573ae1689e1c,7,Event,17,ministre | première | paris | france,0.0377,1927,adopter | faire | disposent,1,france | provoquer | attaquant,11.203,3.8838
699c93fcbf23573ae1689e1e,7,Event,15,epstein | jeffrey | jeffrey epstein | andrew,0.2408,1928,ambassadeur | britannique | peter,1,france | provoquer | attaquant,4.521,0.3021
699c93fcbf23573ae1689e1d,7,Event,6,militant | deranque | mort | quentin,0.0772,1929,socialiste | aura | côté,1,france | provoquer | attaquant,3.3076,0.9558
