id_1,id_2,cosine,sim_structure,sij,type_1,type_2
698dea6f34efc5d3aac0f674,698ebfdb34efc5d3aac0f8d0,1.0,1.0,1.0,Thing/Abstract/Event/Postpone,Thing/Abstract/Event/Postpone
698dea6f34efc5d3aac0f674,698f0b0734efc5d3aac0fa0b,1.0,1.0,1.0,Thing/Abstract/Event/Postpone,Thing/Abstract/Event/Postpone
698ebfdb34efc5d3aac0f8cf,698f0b0734efc5d3aac0fa0a,1.0,1.0,1.0,Thing/Abstract/Event/Build,Thing/Abstract/Event/Build
698ebfdb34efc5d3aac0f8d0,698f0b0734efc5d3aac0fa0b,1.0,1.0,1.0,Thing/Abstract/Event/Postpone,Thing/Abstract/Event/Postpone
698edc1b34efc5d3aac0f939,699849eb6736db9dc26e60d1,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698f3c3f34efc5d3aac0fafa,69986f8a6736db9dc26e617a,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698f3c3f34efc5d3aac0fafb,69986f8a6736db9dc26e617b,1.0,1.0,1.0,Thing/Abstract/Event/Engender,Thing/Abstract/Event/Engender
698f3c3f34efc5d3aac0fafc,698f3c4434efc5d3aac0fb10,1.0,1.0,1.0,Thing/Abstract/Event/Avoid,Thing/Abstract/Event/Avoid
698f3c4734efc5d3aac0fb1a,698f3c6234efc5d3aac0fb27,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698f3c6f34efc5d3aac0fb2d,69986f8b6736db9dc26e6185,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698f3c6f34efc5d3aac0fb2e,69986f8b6736db9dc26e6186,1.0,1.0,1.0,Thing/Abstract/Event/Engender,Thing/Abstract/Event/Engender
698f3c6f34efc5d3aac0fb2f,69986f8b6736db9dc26e6187,1.0,1.0,1.0,Thing/Abstract/Event/Complete,Thing/Abstract/Event/Complete
698f3c7034efc5d3aac0fb30,6995d4f36736db9dc26e58ee,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698f3c7034efc5d3aac0fb30,69986f8b6736db9dc26e6188,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
6990374834efc5d3aac0fdc3,69903bf834efc5d3aac0fddd,1.0,1.0,1.0,Thing/Abstract/Event/Win,Thing/Abstract/Event/Win
6990374834efc5d3aac0fdc4,69903bf834efc5d3aac0fdde,1.0,1.0,1.0,Thing/Abstract/Event/Image,Thing/Abstract/Event/Image
6990374834efc5d3aac0fdc5,69903bf834efc5d3aac0fddf,1.0,1.0,1.0,Thing/Abstract/Event/Hurt,Thing/Abstract/Event/Hurt
6990374934efc5d3aac0fdc6,69903bf834efc5d3aac0fde0,1.0,1.0,1.0,Thing/Abstract/Event/Stop,Thing/Abstract/Event/Stop
69903c0034efc5d3aac0fdeb,699c62b16736db9dc26e6c47,1.0,1.0,1.0,Thing/Abstract/Event,Thing/Abstract/Event
69903c0034efc5d3aac0fdeb,699d3cfd6736db9dc26e6ed0,1.0,1.0,1.0,Thing/Abstract/Event,Thing/Abstract/Event
6990538f34efc5d3aac0fe36,69905cf034efc5d3aac0fe74,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
6990538f34efc5d3aac0fe37,69905cf034efc5d3aac0fe75,1.0,1.0,1.0,Thing/Abstract/Event/Put,Thing/Abstract/Event/Put
69918dda34efc5d3aac100b8,6991b80c34efc5d3aac10162,1.0,1.0,1.0,Thing/Abstract/Event/Study,Thing/Abstract/Event/Study
6991a0b034efc5d3aac100f7,6991f2c534efc5d3aac101e3,1.0,1.0,1.0,Thing/Abstract/Event/Want,Thing/Abstract/Event/Want
6991a0b034efc5d3aac100f8,6991f2c534efc5d3aac101e4,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
6991a0b034efc5d3aac100f9,6991f2c534efc5d3aac101e5,1.0,1.0,1.0,Thing/Abstract/Event/Alternative,Thing/Abstract/Event/Alternative
6991a0b034efc5d3aac100fa,6991f2c534efc5d3aac101e6,1.0,1.0,1.0,Thing/Abstract/Event/NaturalEvents/WaterOverflow,Thing/Abstract/Event/NaturalEvents/WaterOverflow
6991a0b034efc5d3aac100fb,6991f2c534efc5d3aac101e7,1.0,1.0,1.0,Thing/Abstract/Event/Alternative,Thing/Abstract/Event/Alternative
6991a2fa34efc5d3aac10110,6992058b34efc5d3aac10202,1.0,1.0,1.0,Thing/Abstract/Event/Degree,Thing/Abstract/Event/Degree
6991e96634efc5d3aac101ce,6992240334efc5d3aac1023f,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
6991e96634efc5d3aac101cf,6992240334efc5d3aac10240,1.0,1.0,1.0,Thing/Abstract/Event/Attack/BombingAttack,Thing/Abstract/Event/Attack/BombingAttack
6991e96634efc5d3aac101d0,6992240334efc5d3aac10241,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
6991e96634efc5d3aac101d1,6992240334efc5d3aac10242,1.0,1.0,1.0,Thing/Abstract/Event/Transfer,Thing/Abstract/Event/Transfer
6992427834efc5d3aac1028c,699c9d5e6736db9dc26e6d6e,1.0,1.0,1.0,Thing/Abstract/Event/Select,Thing/Abstract/Event/Select
6992b57b34efc5d3aac10343,699c00386736db9dc26e6a9f,1.0,1.0,1.0,Thing/Abstract/Event/Fulfilling,Thing/Abstract/Event/Fulfilling
6992b7d334efc5d3aac10349,6992edde34efc5d3aac103f1,1.0,1.0,1.0,Thing/Abstract/Event/Sustain,Thing/Abstract/Event/Sustain
6992b7d334efc5d3aac10349,69930c5634efc5d3aac1047a,1.0,1.0,1.0,Thing/Abstract/Event/Sustain,Thing/Abstract/Event/Sustain
6992b7d334efc5d3aac1034a,6992edde34efc5d3aac103f2,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
6992b7d334efc5d3aac1034a,69930c5634efc5d3aac1047b,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
6992b7d334efc5d3aac1034b,6992edde34efc5d3aac103f3,1.0,1.0,1.0,Thing/Abstract/Event/Sustain,Thing/Abstract/Event/Sustain
6992b7d334efc5d3aac1034b,69930c5634efc5d3aac1047c,1.0,1.0,1.0,Thing/Abstract/Event/Sustain,Thing/Abstract/Event/Sustain
6992b7d334efc5d3aac1034c,6992edde34efc5d3aac103f4,1.0,1.0,1.0,Thing/Abstract/Event/Wait,Thing/Abstract/Event/Wait
6992b7d334efc5d3aac1034c,69930c5634efc5d3aac1047d,1.0,1.0,1.0,Thing/Abstract/Event/Wait,Thing/Abstract/Event/Wait
6992b7d334efc5d3aac1034d,6992edde34efc5d3aac103f5,1.0,1.0,1.0,Thing/Abstract/Event/Addition,Thing/Abstract/Event/Addition
6992b7d334efc5d3aac1034d,69930c5634efc5d3aac1047e,1.0,1.0,1.0,Thing/Abstract/Event/Addition,Thing/Abstract/Event/Addition
6992daf634efc5d3aac1036e,69930c4b34efc5d3aac1046f,1.0,1.0,1.0,Thing/Abstract/Event/Amalgamate,Thing/Abstract/Event/Amalgamate
6992daf634efc5d3aac1036f,69930c4b34efc5d3aac10470,1.0,1.0,1.0,Thing/Abstract/Event/SportEvent,Thing/Abstract/Event/SportEvent
6992daf634efc5d3aac10370,69930c4b34efc5d3aac10471,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
6992daf934efc5d3aac10378,699c28136736db9dc26e6b22,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
6992daf934efc5d3aac10379,699c28136736db9dc26e6b23,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
6992e92434efc5d3aac103cf,6992e92534efc5d3aac103d2,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
6992edde34efc5d3aac103f1,69930c5634efc5d3aac1047a,1.0,1.0,1.0,Thing/Abstract/Event/Sustain,Thing/Abstract/Event/Sustain
6992edde34efc5d3aac103f2,69930c5634efc5d3aac1047b,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
6992edde34efc5d3aac103f3,69930c5634efc5d3aac1047c,1.0,1.0,1.0,Thing/Abstract/Event/Sustain,Thing/Abstract/Event/Sustain
6992edde34efc5d3aac103f4,69930c5634efc5d3aac1047d,1.0,1.0,1.0,Thing/Abstract/Event/Wait,Thing/Abstract/Event/Wait
6992edde34efc5d3aac103f5,69930c5634efc5d3aac1047e,1.0,1.0,1.0,Thing/Abstract/Event/Addition,Thing/Abstract/Event/Addition
69957b34be23d23515bb6b8b,6995bfc96736db9dc26e583e,1.0,1.0,1.0,Thing/Abstract/Event/Get,Thing/Abstract/Event/Get
69957b34be23d23515bb6b8c,6995bfc96736db9dc26e583f,1.0,1.0,1.0,Thing/Abstract/Event/Disassemble,Thing/Abstract/Event/Disassemble
69957b34be23d23515bb6b8d,6995bfc96736db9dc26e5840,1.0,1.0,1.0,Thing/Abstract/Event/Sporting,Thing/Abstract/Event/Sporting
69957b34be23d23515bb6b8e,6995bfc96736db9dc26e5841,1.0,1.0,1.0,Thing/Abstract/Event/Try,Thing/Abstract/Event/Try
69957b34be23d23515bb6b8f,6995bfc96736db9dc26e5842,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
