event_id_1,event_id_2,cosine_score
699157f134efc5d3aac10035,699157f134efc5d3aac10037,1.0
69917b1b34efc5d3aac1008e,69917b1b34efc5d3aac1008f,1.0
69917b1e34efc5d3aac10097,69917b1e34efc5d3aac10098,1.0
69918dda34efc5d3aac100b8,6991b80c34efc5d3aac10162,1.0
699194f134efc5d3aac100c3,699194f134efc5d3aac100c4,0.9999
699194f334efc5d3aac100ca,699194f334efc5d3aac100cb,1.0
699194f334efc5d3aac100ca,699194f334efc5d3aac100cc,1.0
6991a0b034efc5d3aac100f7,6991f2c534efc5d3aac101e3,1.0
6991a0b034efc5d3aac100f8,6991f2c534efc5d3aac101e4,1.0
6991a0b034efc5d3aac100f9,6991f2c534efc5d3aac101e5,1.0
6991a0b034efc5d3aac100fa,6991f2c534efc5d3aac101e6,1.0
6991a0b034efc5d3aac100fb,6991f2c534efc5d3aac101e7,1.0
6991a2fa34efc5d3aac10110,6992058b34efc5d3aac10202,1.0
6991a2fe34efc5d3aac10113,6991a2fe34efc5d3aac10114,1.0
6991a2fe34efc5d3aac10113,6991a2fe34efc5d3aac10115,1.0
6991bcbf34efc5d3aac1016f,6991bcbf34efc5d3aac10170,1.0
6991d43134efc5d3aac101aa,6991d43134efc5d3aac101ab,1.0
6991d43134efc5d3aac101aa,6991d43134efc5d3aac101ac,1.0
6991d43134efc5d3aac101aa,6991d43134efc5d3aac101ad,1.0
6991e96634efc5d3aac101ce,6992240334efc5d3aac1023f,1.0
6991e96634efc5d3aac101cf,6992240334efc5d3aac10240,1.0
6991e96634efc5d3aac101d0,6992240334efc5d3aac10241,1.0
6991e96634efc5d3aac101d1,6992240334efc5d3aac10242,1.0
6991f06c34efc5d3aac101db,6991f06c34efc5d3aac101dc,1.0
6991fc2534efc5d3aac101f3,6991fc2534efc5d3aac101f4,1.0
69927ada34efc5d3aac102c2,69927ada34efc5d3aac102c3,1.0
6992b57334efc5d3aac1031b,6992b57334efc5d3aac1031c,1.0
6992b57334efc5d3aac1031b,6992b57334efc5d3aac1031d,1.0
6992b57334efc5d3aac1031b,6992b57334efc5d3aac1031e,1.0
6992b57434efc5d3aac10323,6992b57434efc5d3aac10327,1.0
6992b7d334efc5d3aac10349,6992edde34efc5d3aac103f1,1.0
6992b7d334efc5d3aac10349,69930c5634efc5d3aac1047a,1.0
6992b7d334efc5d3aac1034a,6992edde34efc5d3aac103f2,1.0
6992b7d334efc5d3aac1034a,69930c5634efc5d3aac1047b,1.0
6992b7d334efc5d3aac1034b,6992edde34efc5d3aac103f3,1.0
6992b7d334efc5d3aac1034b,69930c5634efc5d3aac1047c,1.0
6992b7d334efc5d3aac1034c,6992edde34efc5d3aac103f4,1.0
6992b7d334efc5d3aac1034c,69930c5634efc5d3aac1047d,1.0
6992b7d334efc5d3aac1034d,6992edde34efc5d3aac103f5,1.0
6992b7d334efc5d3aac1034d,69930c5634efc5d3aac1047e,1.0
6992bc7834efc5d3aac10351,6992bc7834efc5d3aac10352,1.0
6992bc7834efc5d3aac10351,6992bc7834efc5d3aac10353,1.0
6992daf634efc5d3aac1036e,69930c4b34efc5d3aac1046f,1.0
6992daf634efc5d3aac1036f,69930c4b34efc5d3aac10470,1.0
6992daf634efc5d3aac10370,69930c4b34efc5d3aac10471,1.0
6992dfa234efc5d3aac1039d,6992dfa234efc5d3aac1039e,1.0
6992e92434efc5d3aac103ce,6992e92434efc5d3aac103cf,1.0
6992e92434efc5d3aac103ce,6992e92434efc5d3aac103d0,1.0
6992e92434efc5d3aac103ce,6992e92434efc5d3aac103d1,1.0
6992e92434efc5d3aac103ce,6992e92534efc5d3aac103d2,1.0
6992f28334efc5d3aac103fc,6992f28334efc5d3aac103fd,1.0
6992f28334efc5d3aac103fc,6992f28334efc5d3aac103fe,1.0
6992fe3b34efc5d3aac1043b,6992fe3b34efc5d3aac1043c,1.0
6993009934efc5d3aac10454,6993009934efc5d3aac10455,1.0
699578ddbe23d23515bb6b86,699578ddbe23d23515bb6b87,1.0
699578ddbe23d23515bb6b86,699578ddbe23d23515bb6b88,1.0
699578ddbe23d23515bb6b86,699578ddbe23d23515bb6b89,1.0
69957b34be23d23515bb6b8b,6995bfc96736db9dc26e583e,1.0
69957b34be23d23515bb6b8c,6995bfc96736db9dc26e583f,1.0
69957b34be23d23515bb6b8d,6995bfc96736db9dc26e5840,1.0
69957b34be23d23515bb6b8e,6995bfc96736db9dc26e5841,1.0
69957b34be23d23515bb6b8f,6995bfc96736db9dc26e5842,1.0
69957b34be23d23515bb6b90,6995bfc96736db9dc26e5843,1.0
6995b6656736db9dc26e582a,6995b6656736db9dc26e582b,1.0
6995cddd6736db9dc26e586f,6995cddd6736db9dc26e5870,1.0
6995d2906736db9dc26e5891,6995d2916736db9dc26e5892,1.0
6995d4eb6736db9dc26e589d,6995d4ed6736db9dc26e58af,1.0
6995d4eb6736db9dc26e589e,6995d4ed6736db9dc26e58b0,1.0
6995d4eb6736db9dc26e589f,6995d4ed6736db9dc26e58b1,1.0
6995d4eb6736db9dc26e589f,6995d73d6736db9dc26e590b,1.0
6995d4f66736db9dc26e58f3,6995d4f66736db9dc26e58f4,1.0
6995d4f66736db9dc26e58fb,69971d986736db9dc26e5d0a,1.0
6995e3136736db9dc26e593a,6995e3136736db9dc26e593b,1.0
6995ec706736db9dc26e5993,6995ec706736db9dc26e5994,1.0
6995f3776736db9dc26e59a4,6995f3776736db9dc26e59a5,1.0
6995f3776736db9dc26e59a4,6995f3776736db9dc26e59a6,1.0
6995ff2f6736db9dc26e59ea,6995ff2f6736db9dc26e59eb,1.0
699624b96736db9dc26e5a90,699624b96736db9dc26e5a91,1.0
699624b96736db9dc26e5a90,699624b96736db9dc26e5a93,1.0
699656136736db9dc26e5ae4,699656136736db9dc26e5ae6,1.0
6996932c6736db9dc26e5b19,6996932c6736db9dc26e5b1a,1.0
6996cb786736db9dc26e5b8f,6996e7b56736db9dc26e5c1a,1.0
6996cdc96736db9dc26e5ba1,699708836736db9dc26e5cd4,1.0
6996cdc96736db9dc26e5ba2,699708836736db9dc26e5cd5,1.0
6996cdc96736db9dc26e5ba3,699708836736db9dc26e5cd6,1.0
6996dbf06736db9dc26e5bd4,6996dbf06736db9dc26e5bd5,1.0
6996e7b26736db9dc26e5c06,6996e7b26736db9dc26e5c07,1.0
6996ea006736db9dc26e5c22,6996ea006736db9dc26e5c23,1.0
6997087c6736db9dc26e5cc0,6997087c6736db9dc26e5cc1,1.0
69971d986736db9dc26e5d0e,69971d986736db9dc26e5d0f,1.0
69971d9c6736db9dc26e5d17,69971d9c6736db9dc26e5d18,1.0
6997350e6736db9dc26e5dad,6997350e6736db9dc26e5dae,1.0
6997350e6736db9dc26e5dad,6997350e6736db9dc26e5daf,1.0
699753836736db9dc26e5e4a,699753836736db9dc26e5e4b,1.0
699753836736db9dc26e5e4a,699753836736db9dc26e5e4c,1.0
699764046736db9dc26e5ea0,699764046736db9dc26e5ea1,1.0
699764046736db9dc26e5ea0,699764046736db9dc26e5ea2,1.0
699764046736db9dc26e5ea0,699764046736db9dc26e5ea3,1.0
6997802d6736db9dc26e5ed1,699853716736db9dc26e610f,1.0
6997802d6736db9dc26e5ed2,699853716736db9dc26e6110,1.0
699792f16736db9dc26e5f0c,699792f16736db9dc26e5f0d,1.0
6997c1cd6736db9dc26e5f35,6997c1cd6736db9dc26e5f36,1.0
6997e7746736db9dc26e5f58,6997e7746736db9dc26e5f59,1.0
6997e7746736db9dc26e5f58,6997e7746736db9dc26e5f5a,1.0
6997e7746736db9dc26e5f58,6997e7746736db9dc26e5f5b,1.0
69982b6d6736db9dc26e5fe7,69982b6e6736db9dc26e5feb,1.0
699832746736db9dc26e6003,699832746736db9dc26e6004,1.0
699837296736db9dc26e600e,699837296736db9dc26e600f,1.0
699839836736db9dc26e6029,699839836736db9dc26e602a,1.0
6998398e6736db9dc26e6041,699884b66736db9dc26e6249,1.0
6998398e6736db9dc26e6042,699884b66736db9dc26e624a,1.0
699863cd6736db9dc26e6141,699863cd6736db9dc26e6142,1.0
69986f8a6736db9dc26e617e,69986f8a6736db9dc26e617f,1.0
6998905d6736db9dc26e6272,6998905d6736db9dc26e6273,1.0
6998a57a6736db9dc26e62d4,6998ee486736db9dc26e63bd,1.0
6998b12e6736db9dc26e632e,6998b12e6736db9dc26e632f,1.0
6999613c6736db9dc26e644f,69999e2e6736db9dc26e655a,1.0
6999613c6736db9dc26e6450,69999e2e6736db9dc26e655b,1.0
6999613c6736db9dc26e6451,69999e2e6736db9dc26e655c,1.0
6999613c6736db9dc26e6452,69999e2e6736db9dc26e655d,1.0
6999638e6736db9dc26e6455,6999638e6736db9dc26e6456,1.0
69997b036736db9dc26e64c4,69997b036736db9dc26e64c5,1.0
6999a7946736db9dc26e657d,6999b3476736db9dc26e65b1,1.0
6999cf626736db9dc26e6603,6999cf626736db9dc26e6604,1.0
6999cf626736db9dc26e6603,6999cf626736db9dc26e6605,1.0
6999cf626736db9dc26e6603,6999cf626736db9dc26e6606,1.0
6999dff16736db9dc26e664f,699b00856736db9dc26e6889,1.0
6999dff16736db9dc26e6650,699b00856736db9dc26e688a,1.0
6999dff16736db9dc26e6651,699b00856736db9dc26e688b,1.0
6999f9b16736db9dc26e668e,6999f9b16736db9dc26e668f,1.0
6999f9b56736db9dc26e6692,6999f9b56736db9dc26e6694,1.0
699a0c7a6736db9dc26e66bc,699a0c7a6736db9dc26e66bd,1.0
